query_seq	what_def	kid	pathway	family	genus_sp
lcl|FLDA00M01A03BU	asparaginyl-tRNA synthetase	K01893	Aminoacyl-tRNA biosynthesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A0AIU	deoxyribodipyrimidine photo-lyase	K01669	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M01A0UWU	lcl|pti:PHATRDRAFT_47239	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01A1BEH	hydroxymethylbilane synthase	K01749	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A1GBC	large subunit ribosomal protein L10Ae	K02865	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A1IGW	magnesium chelatase	K03403	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A1VDW	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01A297E	calmodulin	K02183	Phosphatidylinositol signaling system	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01A2AOV	lcl|pti:PHATRDRAFT_45465*	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01A2K6K	large subunit ribosomal protein L35e	K02918	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M01A2KRD	large subunit ribosomal protein L3e	K02925	Ribosome	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01A2NC4	small subunit ribosomal protein S27Ae	K02977	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A2XWM	sedoheptulose-bisphosphatase	K01100	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A313A	magnesium chelatase	K03403	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01A346V	geranylgeranyl reductase	K10960	Terpenoid backbone biosynthesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A3HFY	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01A3SQD	lcl|tps:THAPSDRAFT_42545	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01A446U	ribosome biogenesis protein NSA2	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01A45H3	biotin carboxylase	K01946	Fatty acid biosynthesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A47C5	NADPH-ferrihemoprotein reductase	K00327	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M01A4EY0	EF containing protein	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A4H2Y	myo-inositol 2-dehydrogenase putative (EC:1.1.1.18)	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A4Q9C	cytochrome b6	K02635	Photosynthesis	bacillariaceae	Thalassiosira
lcl|FLDA00M01A54OD	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01A5I58	large subunit ribosomal protein L23e	K02894	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A6O9C	ubiquitin C	K08770	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01A6UZZ	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A7325	large subunit ribosomal protein L5e	K02932	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A762L	F-type H+-transporting ATPase subunit gamma	K02115	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A76CB	cytochrome c oxidase subunit I	K02256	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01A7D60	cytochrome c	K08738	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A7ER2	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	K03526	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A7KLA	transketolase	K00615	Pentose phosphate pathway	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01A7LQA	small subunit ribosomal protein S26e	K02976	Ribosome	bacillariaceae	Pseudo-nitzschia granii
