treatment	query_seq	tag_length	what_id	what_description	what_e_value	what_definition	what_def	gene_length	protein_id	kid	pathway	path_class	who_db	who_db	who_id	who_e_value	phylum	family	trophic_state	genus_sp
ambient	lcl|FLTNPN101D1O81	259	lcl|pti:PHATRDRAFT_22006*	Lhcf10; protein fucoxanthin chlorophyll a/c protein	1.11E-21	fucoxanthin	fucoxanthin	199	NA	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	Photosynthesis - antenna proteins	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig00552	2.02E-33	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101D9SKW	255	lcl|pti:PHATRDRAFT_50705*	Lhcf3; protein fucoxanthin chlorophyl a/c protein	4.07E-24	fucoxanthin	fucoxanthin	198	NA	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	Photosynthesis - antenna proteins	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig00552	2.72E-37	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102FZ9RB	253	lcl|tps:THAPSDRAFT_12097*	"Lhcx6; fucoxanthin chlorophyll a/c protein, LI818 clade"	3.94E-27	fucoxanthin	fucoxanthin	255	NA	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	Photosynthesis - antenna proteins	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig02961	6.97E-36	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101C0CG6	261	lcl|tps:THAPSDRAFT_2601*	"Lhca2; fucoxanthin chl a/c protein, lhca clade"	9.33E-21	fucoxanthin	fucoxanthin	250	NA	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	Photosynthesis - antenna proteins	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig00765	2.77E-29	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101DVI5C	292	lcl|tps:THAPSDRAFT_38583*	Lhcf1; fucoxanthin chlorophyll a/c protein 1	4.04E-32	fucoxanthin	fucoxanthin	190	NA	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	Photosynthesis - antenna proteins	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig02175	4.93E-46	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102I13OT	252	lcl|tps:THAPSDRAFT_42962*	Lhcf5; fucoxanthin chlorophyll a/c protein 5	1.27E-25	fucoxanthin	fucoxanthin	200	NA	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	Photosynthesis - antenna proteins	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig00552	3.37E-40	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101EKJ9P	277	lcl|pti:PHATRDRAFT_48707*	Sit4; silicon transporter	1.46E-21	silicic acid transporter	silicic acid transporter	512	NA	ARM003	Environmental Information Processing; Membrane Transport; ABC transporters	ABC transporters	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig01181	6.72E-31	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102HSDQG	245	lcl|tps:THAPSDRAFT_1456*	"isocitrate dehydrogenase, NADP-dependent"	5.18E-21	isocitrate dehydrogenase	isocitrate dehydrogenase	662	NA	K00031	NA	NA	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig03416	9.51E-32	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102GFVOX	249	lcl|tps:THAPSDRAFT_1456*	"isocitrate dehydrogenase, NADP-dependent"	8.23E-25	isocitrate dehydrogenase	isocitrate dehydrogenase	662	NA	K00031	NA	NA	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig03416	1.58E-35	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101C88PR	261	lcl|tps:THAPSDRAFT_3353*	l-lactate dehydrogenase (EC:1.1.2.3)	1.03E-36	L-lactate dehydrogenase (cytochrome)	L-lactate dehydrogenase (cytochrome)	431	NA	K00101	NA	NA	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig03775	3.08E-48	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101ASD2A	202	lcl|pti:PHATRDRAFT_32747	NA	4.27E-29	glyceraldehyde 3-phosphate dehydrogenase	glyceraldehyde 3-phosphate dehydrogenase	336	pti:PHATRDRAFT_32747	K00134	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|contig01196	6.63E-39	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101DTVL9	205	lcl|pti:PHATRDRAFT_32747	NA	4.41E-26	glyceraldehyde 3-phosphate dehydrogenase	glyceraldehyde 3-phosphate dehydrogenase	336	pti:PHATRDRAFT_32747	K00134	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|contig01196	1.65E-35	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102JEOXA	256	lcl|tps:THAPSDRAFT_31383*	GAPD1; glyceraldehyde-3-phosphate dehydrogenase precursor (EC:1.2.1.12)	3.32E-34	glyceraldehyde 3-phosphate dehydrogenase	glyceraldehyde 3-phosphate dehydrogenase	375	NA	K00134	NA	NA	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig00990	1.59E-43	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102G7HI7	247	lcl|tps:THAPSDRAFT_41005*	pyruvate dehydrogenase	5.89E-39	pyruvate dehydrogenase (cytochrome)	pyruvate dehydrogenase (cytochrome)	318	NA	K00156	NA	NA	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|contig04036	9.40E-50	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102HGIEJ	257	lcl|tps:THAPSDRAFT_8778	PDHB1; pyruvate dehydrogenase (EC:1.2.4.1); K00162 pyruvate dehydrogenase E1 component subunit beta	1.94E-34	pyruvate dehydrogenase E1 component subunit beta	pyruvate dehydrogenase E1 component subunit beta	336	tps:THAPSDRAFT_8778	K00162	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig02937	3.18E-47	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102GLP1M	243	lcl|gbe:GbCGDNIH1_2068	2-oxoglutarate dehydrogenase E1 component (EC:1.2.4.2); K00164 2-oxoglutarate dehydrogenase E1 component	5.58E-21	2-oxoglutarate dehydrogenase E1 component	2-oxoglutarate dehydrogenase E1 component	963	gbe:GbCGDNIH1_2068	K00164	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig01768	1.10E-27	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101EOP8X	252	lcl|tps:THAPSDRAFT_32860	EAR1; enoyl-reductase	1.83E-24	enoyl-[acyl-carrier protein] reductase I	enoyl-[acyl-carrier protein] reductase I	312	tps:THAPSDRAFT_32860	K00208	Fatty acid biosynthesis	Fatty acid biosynthesis	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig01881	1.27E-32	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101EL22J	246	lcl|tps:THAPSDRAFT_32860	EAR1; enoyl-reductase	1.85E-24	enoyl-[acyl-carrier protein] reductase I	enoyl-[acyl-carrier protein] reductase I	312	tps:THAPSDRAFT_32860	K00208	Fatty acid biosynthesis	Fatty acid biosynthesis	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig01881	1.36E-32	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101CF687	234	lcl|tps:THAPSDRAFT_32860	EAR1; enoyl-reductase	7.08E-24	enoyl-[acyl-carrier protein] reductase I	enoyl-[acyl-carrier protein] reductase I	312	tps:THAPSDRAFT_32860	K00208	Fatty acid biosynthesis	Fatty acid biosynthesis	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig01881	5.71E-32	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101CP4UZ	260	lcl|tps:THAPSDRAFT_32860	EAR1; enoyl-reductase	1.54E-23	enoyl-[acyl-carrier protein] reductase I	enoyl-[acyl-carrier protein] reductase I	312	tps:THAPSDRAFT_32860	K00208	Fatty acid biosynthesis	Fatty acid biosynthesis	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig01881	2.62E-31	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101D604P	179	lcl|pti:PHATRDRAFT_15068	HemF_1; coproporphyrinogen III oxidase ; K00228 coproporphyrinogen III oxidase	4.97E-30	coproporphyrinogen III oxidase	coproporphyrinogen III oxidase	304	pti:PHATRDRAFT_15068	K00228	Porphyrin and chlorophyll metabolism	Porphyrin and chlorophyll metabolism	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|contig06471	9.23E-41	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102F55JN	228	lcl|ptm:GSPATT00035998001*	K00234 succinate dehydrogenase (ubiquinone) flavoprotein subunit	1.18E-26	succinate dehydrogenase (ubiquinone) flavoprotein subunit	succinate dehydrogenase (ubiquinone) flavoprotein subunit	636	NA	K00234	NA	NA	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|contig04114	7.86E-33	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102I07JQ	239	lcl|cre:CHLREDRAFT_150809	ALD1; aldehyde dehydrogenase ; K00294 1-pyrroline-5-carboxylate dehydrogenase	3.74E-33	1-pyrroline-5-carboxylate dehydrogenase	1-pyrroline-5-carboxylate dehydrogenase	548	cre:CHLREDRAFT_150809	K00294	"Alanine, aspartate and glutamate metabolism"	"Alanine, aspartate and glutamate metabolism"	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig01912	1.16E-44	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101EGS6A	267	lcl|tps:THAPSDRAFT_32955*	quinone oxidoreductase (ISS)	1.67E-30	Na+-transporting NADH:ubiquinone oxidoreductase subunit A	Na+-transporting NADH:ubiquinone oxidoreductase subunit A	311	NA	K00346	NA	NA	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|contig00363	1.85E-41	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102HQODL	252	lcl|tps:THAPSDRAFT_21175*	TKT2; transketolase (EC:2.2.1.1)	5.50E-37	transketolase	transketolase	663	tps:THAPSDRAFT_21175	K00615	NA	NA	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig01562	2.60E-49	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102GPXYV	272	lcl|pti:PHATRDRAFT_bd913	NA	3.17E-32	S-adenosylmethionine synthetase	S-adenosylmethionine synthetase	386	pti:PHATRDRAFT_bd913	K00789	Cysteine and methionine metabolism	Cysteine and methionine metabolism	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig03008	6.12E-42	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101BGQ40	253	lcl|pti:PHATRDRAFT_bd913	NA	2.24E-30	S-adenosylmethionine synthetase	S-adenosylmethionine synthetase	386	pti:PHATRDRAFT_bd913	K00789	Cysteine and methionine metabolism	Cysteine and methionine metabolism	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig03008	3.30E-40	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102JRQNI	255	lcl|pti:PHATRDRAFT_bd913	NA	2.23E-22	S-adenosylmethionine synthetase	S-adenosylmethionine synthetase	386	pti:PHATRDRAFT_bd913	K00789	Cysteine and methionine metabolism	Cysteine and methionine metabolism	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig03008	1.13E-30	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102GQ6MQ	254	lcl|pti:PHATRDRAFT_bd913	NA	2.09E-28	S-adenosylmethionine synthetase	S-adenosylmethionine synthetase	386	pti:PHATRDRAFT_bd913	K00789	Cysteine and methionine metabolism	Cysteine and methionine metabolism	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig03008	7.46E-38	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101DEXFC	270	lcl|pti:PHATRDRAFT_bd913	NA	5.42E-32	S-adenosylmethionine synthetase	S-adenosylmethionine synthetase	386	pti:PHATRDRAFT_bd913	K00789	Cysteine and methionine metabolism	Cysteine and methionine metabolism	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig03008	1.56E-41	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102IYP6E	267	lcl|tps:THAPSDRAFT_22208*	alanine glyoxylate aminotransferase	2.44E-24	serine--pyruvate aminotransferase	serine--pyruvate aminotransferase	472	NA	K00830	NA	NA	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig01484	6.01E-34	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101D8JEI	242	lcl|ptm:GSPATT00027449001*	phosphoprotein phosphatase 1	7.04E-24	protein phosphatase	protein phosphatase	321	NA	K01090	NA	NA	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig04838	1.77E-29	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102HAYGV	244	lcl|pti:PHATRDRAFT_40933*	chloroplast clp protease P	3.59E-36	"ATP-dependent Clp protease, protease subunit"	"ATP-dependent Clp protease, protease subunit"	188	NA	K01358	NA	NA	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig02955	1.51E-47	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN102GGSRT	259	lcl|pti:PHATRDRAFT_40880*	agmatinase	5.65E-34	agmatinase	agmatinase	416	NA	K01480	NA	NA	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig01736	2.94E-46	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101D1310	247	lcl|tps:THAPSDRAFT_28100	"3,4-Dihydroxy-2-butanone, synthase (EC:3.5.4.25); K01497 GTP cyclohydrolase II"	4.38E-26	GTP cyclohydrolase II	GTP cyclohydrolase II	225	tps:THAPSDRAFT_28100	K01497	Riboflavin metabolism	Riboflavin metabolism	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig04711	2.17E-35	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
ambient	lcl|FLTNPN101CZRCG	253	lcl|pti:PHATR_21183	NA	5.90E-23	inorganic pyrophosphatase	inorganic pyrophosphatase	750	pti:PHATR_21183	K01507	Oxidative phosphorylation	Oxidative phosphorylation	Chaetoceros_Fe_ESTs_na	Chaetoceros_Fe_ESTs_na	gnl|ChspFe|isotig00447	3.12E-31	heterokontophyta (d)	Chaetocerotaceae	autotroph	Chaetoceros
